LiNi0.35Mn0.15Co0.15Al0.35O2                      &6\\
LiNi0.6Mn0.1Co0.1Mg0.1Si0.1O2                     &7\\
LiNi0.6Mn0.1Co0.1Si0.1Ca0.1O2                     &7\\
LiNi0.6Mn0.1Co0.1Ca0.1Ti0.1O2                     &7\\
LiNi0.6Mn0.1Co0.1Ti0.1Mg0.1O2                     &7\\
LiNi0.6Mn0.05Co0.05Si0.15Ca0.15O2                 &7\\
LiNi0.7Mn0.05Co0.05Si0.1Mg0.1O2                   &7\\
LiNi0.6Mn0.15Co0.1Ca0.1Ti0.05O2                   &7\\
LiNi0.65Mn0.1Co0.1Si0.1Ca0.05O2                   &7\\
LiNi0.55Mn0.1Co0.1Ti0.1Ca0.15O2                   &7\\
LiNi0.65Mn0.05Co0.05Si0.15Ca0.1O2                 &7\\
LiNi0.4Mn0.1Co0.1Zr0.1Al0.3O2                     &7\\
LiNi0.6Mn0.1Co0.1Ti0.1Fe0.1O2                     &7\\
LiNi0.4Mn0.15Co0.05Mg0.15Si0.25O2                 &7\\
LiNi0.65Mn0.1Co0.1Ti0.1Al0.05O2                   &7\\
LiNi0.65Mn0.1Co0.1Mg0.1B0.05O2                    &7\\
LiNi0.5Mn0.1Co0.1Zr0.1Al0.2O2                     &7\\
LiNi0.3Mn0.1Co0.1Ca0.3Si0.2O2                     &7\\
LiNi0.5Mn0.05Co0.05Si0.15Ca0.25O2                 &7\\
LiNi0.4Mn0.15Co0.15Zr0.1Al0.2O2                   &7\\
LiNi0.5Mn0.1Co0.1Ti0.1Fe0.1Ca0.1O2                &8\\
LiNi0.5Mn0.1Co0.1Ti0.1Fe0.1Mg0.1O2                &8\\
LiNi0.55Mn0.15Co0.1Ca0.1Ti0.05Si0.05O2            &8\\
LiNi0.5Mn0.1Co0.1Ti0.1Fe0.1Al0.1O2                &8\\
LiNi0.4Mn0.1Co0.1Al0.1Ti0.1C0.1O2                 &8\\
LiNi0.5Mn0.15Co0.1Ca0.1Ti0.05Si0.05C0.05O2        &9\\
LiNi0.45Mn0.15Co0.1Ca0.1Ti0.05Si0.05C0.1O2        &9\\
LiNi0.3Mn0.1Co0.1Ti0.1Fe0.1Al0.1Si0.1Mg0.1O2      &10\\
LiNi0.2Mn0.1Co0.1Ti0.1Fe0.1Al0.1Si0.1Mg0.1Zn0.1O2 &11\\
